Gear,Sex,age,weight
Longline,Female,10,0.62
Longline,Female,11,1.19
Longline,Female,12,1.26
Longline,Female,13,1.3442
Longline,Female,14,1.309
Longline,Female,15,1.4684
Longline,Female,16,1.6586
Longline,Female,17,1.8246
Longline,Female,18,1.8558
Longline,Female,19,1.9393
Longline,Female,20,2.0675
Longline,Female,21,2.226
Longline,Female,22,2.3328
Longline,Female,23,2.5056
Longline,Female,24,2.5972
Longline,Female,25,2.7114
Longline,Female,26,2.8356
Longline,Female,27,2.9717
Longline,Female,28,2.981
Longline,Female,29,3.0845
Longline,Female,30,3.169
Longline,Female,31,3.2006
Longline,Female,32,3.2986
Longline,Female,33,3.4318
Longline,Female,34,3.4506
Longline,Female,35,3.5366
Longline,Female,36,3.665
Longline,Female,37,3.7467
Longline,Female,38,3.8103
Longline,Female,39,3.8797
Longline,Female,40,4.0478
Longline,Female,41,4.0782
Longline,Female,42,4.244
Longline,Female,43,4.2134
Longline,Female,44,4.2553
Longline,Female,45,4.344
Longline,Female,46,4.3153
Longline,Female,47,4.3574
Longline,Female,48,4.4224
Longline,Female,49,4.5268
Longline,Female,50,4.6217
Longline,Female,51,4.8395
Longline,Female,52,4.6886
Longline,Female,53,4.8293
Longline,Female,54,4.6832
Longline,Female,55,4.9837
Longline,Female,56,4.8661
Longline,Female,57,4.7394
Longline,Female,58,4.9218
Longline,Female,59,4.9559
Longline,Female,60,5.1914
Longline,Female,61,5.3617
Longline,Female,62,5.0713
Longline,Female,63,5.4193
Longline,Female,64,5.3351
Longline,Female,65,5.3786
Longline,Female,66,5.2888
Longline,Female,67,5.1073
Longline,Female,68,5.133
Longline,Female,69,5.3696
Longline,Female,70,5.4158
Longline,Female,71,5.6419
Longline,Female,72,5.3875
Longline,Female,73,5.5222
Longline,Female,74,5.184
Longline,Female,75,5.3619
Longline,Female,76,5.743
Longline,Female,77,5.5794
Longline,Female,78,5.2536
Longline,Female,79,5.2216
Longline,Female,80,5.8974
Longline,Female,81,5.961
Longline,Female,82,6.005
Longline,Female,83,6.1635
Longline,Female,84,6.3353
Longline,Female,85,5.6808
Longline,Female,86,5.7607
Longline,Female,87,6.5411
Longline,Female,88,6.005
Longline,Female,89,6.1935
Longline,Female,90,5.5259
Longline,Female,91,6.0495
Longline,Female,92,5.4762
Longline,Female,93,6.4695
Longline,Female,94,6.391
Longline,Female,95,6.472
Longline,Female,96,5.8786
Longline,Female,97,5.8067
Longline,Female,98,6.1206
Longline,Female,99,5.7725
Longline,Female,100,6.3057
Longline,Male,8,0.77
Longline,Male,9,1.225
Longline,Male,10,0.99
Longline,Male,11,1.0833
Longline,Male,12,0.9773
Longline,Male,13,1.1811
Longline,Male,14,1.3404
Longline,Male,15,1.4189
Longline,Male,16,1.5692
Longline,Male,17,1.7887
Longline,Male,18,1.8645
Longline,Male,19,1.9831
Longline,Male,20,2.1511
Longline,Male,21,2.2506
Longline,Male,22,2.4887
Longline,Male,23,2.6157
Longline,Male,24,2.7636
Longline,Male,25,2.9458
Longline,Male,26,2.9661
Longline,Male,27,3.0999
Longline,Male,28,3.1776
Longline,Male,29,3.3137
Longline,Male,30,3.2851
Longline,Male,31,3.4274
Longline,Male,32,3.5509
Longline,Male,33,3.6029
Longline,Male,34,3.6993
Longline,Male,35,3.7393
Longline,Male,36,3.8293
Longline,Male,37,3.9428
Longline,Male,38,3.9159
Longline,Male,39,4.108
Longline,Male,40,4.1184
Longline,Male,41,4.2809
Longline,Male,42,4.2045
Longline,Male,43,4.1732
Longline,Male,44,4.3463
Longline,Male,45,4.3172
Longline,Male,46,4.409
Longline,Male,47,4.432
Longline,Male,48,4.5179
Longline,Male,49,4.5122
Longline,Male,50,4.5209
Longline,Male,51,4.6347
Longline,Male,52,4.8477
Longline,Male,53,4.6986
Longline,Male,54,4.9004
Longline,Male,55,4.8283
Longline,Male,56,4.8784
Longline,Male,57,4.7486
Longline,Male,58,5.0007
Longline,Male,59,4.8174
Longline,Male,60,4.9714
Longline,Male,61,4.9019
Longline,Male,62,5.0559
Longline,Male,63,5.2069
Longline,Male,64,5.1759
Longline,Male,65,5.4176
Longline,Male,66,5.2678
Longline,Male,67,5.5561
Longline,Male,68,5.47
Longline,Male,69,5.3365
Longline,Male,70,5.696
Longline,Male,71,5.0643
Longline,Male,72,5.0193
Longline,Male,73,5.3911
Longline,Male,74,5.335
Longline,Male,75,5.5912
Longline,Male,76,5.9721
Longline,Male,77,5.5376
Longline,Male,78,5.211
Longline,Male,79,5.4193
Longline,Male,80,6.2254
Longline,Male,81,5.5179
Longline,Male,82,6.0912
Longline,Male,83,5.9779
Longline,Male,84,6.04
Longline,Male,85,5.82
Longline,Male,86,5.5
Longline,Male,87,5.5538
Longline,Male,88,6.1889
Longline,Male,89,6.18
Longline,Male,90,6.6286
Longline,Male,91,6.0033
Longline,Male,92,5.71
Longline,Male,93,6.558
Longline,Male,94,5.28
Longline,Male,95,6.074
Longline,Male,96,6.1967
Longline,Male,97,6.3
Longline,Male,98,6.045
Longline,Male,99,7.32
Longline,Male,100,5.998
Jig,Female,10,1
Jig,Female,15,1.15
Jig,Female,16,1.35
